"IGOMEAARL"	"MAR"	"2"	"2"
"TUN"	"LEG"	"1"	"1"
"TUNGOV"	"LEG"	"1"	"1"
""	"EUR"	"2"	"2"
"AFG"	""	"6"	"8"
"AFG"	"GOV"	"1"	"1"
"ALB"	""	"2"	"3"
"CHRCTH"	"ITA"	"1"	"2"
"EDU"	""	"6"	"6"
"EGY"	""	"12"	"18"
"GBR"	""	"6"	"10"
"GBR"	"USA"	"2"	"3"
"GHA"	"GOV"	"3"	"3"
"GOV"	"COP"	"5"	"6"
"GOV"	"IRQ"	"1"	"1"
"GOV"	"RUS"	"9"	"13"
"GOV"	"SAUELI"	"1"	"1"
"HLH"	""	"2"	"2"
"HLH"	"USA"	"3"	"3"
"IGOWSTNAT"	"DEUGOV"	"1"	"1"
"ISRGOV"	"GOV"	"2"	"3"
"JPN"	"JPNGOV"	"1"	"2"
"JPN"	"POL"	"1"	"2"
"JPN"	"POLGOV"	"1"	"1"
"LBN"	""	"3"	"3"
"LEG"	"ALB"	"1"	"1"
"LEG"	"GOV"	"2"	"2"
"MED"	"FRA"	"1"	"2"
"MED"	"POLGOV"	"1"	"1"
"MEX"	"MEXMED"	"1"	"1"
"MIL"	"POL"	"7"	"10"
"MILSPY"	"THA"	"1"	"1"
"POLGOV"	"DEU"	"1"	"1"
"POLMIL"	"POL"	"1"	"1"
"PSE"	""	"2"	"4"
"IGOWSTNAT"	""	"2"	"4"
"GOVMIL"	""	"7"	"8"
"IGOWSTNATMED"	""	"1"	"1"
"IGOWSTNATMED"	"ITA"	"1"	"1"
"ISR"	"ISRMIL"	"1"	"1"
"ISRMIL"	"ISR"	"1"	"1"
""	"SYR"	"3"	"3"
"AFRMED"	"GHA"	"1"	"1"
"BUS"	"LEG"	"1"	"1"
"EDU"	"GOV"	"1"	"2"
"GOV"	"SYR"	"2"	"2"
"GOV"	"USAGOV"	"5"	"6"
"MED"	"RUS"	"2"	"3"
"MIL"	"GOVMIL"	"1"	"2"
"POLGOV"	"MIL"	"1"	"1"
"SLVGOV"	""	"1"	"1"
"SLVGOV"	"GOV"	"1"	"1"
"USA"	"RUS"	"6"	"8"
""	"JEWOPP"	"1"	"1"
"CAN"	"EUR"	"1"	"2"
"CAN"	"JPN"	"1"	"1"
"CAN"	"USA"	"2"	"2"
"CVL"	"POLGOV"	"1"	"1"
"GOV"	"GBR"	"4"	"5"
"GOV"	"IRN"	"6"	"9"
"GOV"	"MIL"	"1"	"1"
"JEWOPP"	"JEW"	"1"	"1"
"JUD"	""	"9"	"11"
"JUD"	"BUS"	"4"	"4"
"LEG"	"USA"	"1"	"1"
"PAK"	""	"4"	"5"
"POLGOV"	""	"4"	"4"
"RUSCVL"	"POLGOV"	"1"	"2"
"USA"	"IRNGOV"	"3"	"3"
"USAGOV"	""	"3"	"3"
"FRA"	"DEU"	"1"	"2"
""	"POL"	"12"	"20"
"CAN"	"MIL"	"2"	"3"
"CHRCTHREL"	"USAMED"	"1"	"1"
"GOV"	"ITA"	"2"	"4"
"IRNGOV"	"SYRMED"	"1"	"2"
"ITACOP"	"CRM"	"2"	"2"
"LAB"	"REL"	"1"	"1"
"SDN"	"LEG"	"1"	"1"
"USA"	"ITA"	"2"	"2"
"USA"	"USAMED"	"1"	"1"
"USAREL"	"USAMED"	"1"	"1"
""	"GIN"	"1"	"1"
"GOV"	"ITACOP"	"1"	"1"
"IRN"	"AZE"	"1"	"1"
"ITA"	"USA"	"3"	"4"
"ITAMED"	"ITA"	"1"	"1"
"POL"	"DEU"	"2"	"3"
"POL"	"DEUMED"	"2"	"2"
"UGA"	""	"2"	"2"
"FRA"	"JUD"	"1"	"1"
"ITAJUD"	"ITA"	"2"	"2"
"MED"	"DEU"	"1"	"2"
""	"USA"	"9"	"19"
"IGOWSTNAT"	"MED"	"1"	"3"
"OPP"	"COP"	"2"	"2"
"PAK"	"SAU"	"4"	"8"
"USA"	"LEG"	"3"	"4"
"CHN"	"CVL"	"2"	"3"
"CUB"	"RUS"	"1"	"1"
"ITA"	"RUS"	"1"	"2"
"MIL"	"USA"	"1"	"1"
"GBRRAD"	""	"1"	"1"
"MED"	"GBRMIL"	"1"	"1"
"SDN"	""	"2"	"2"
"IRL"	"MIL"	"2"	"3"
"IRLREB"	""	"2"	"2"
"IRQ"	""	"4"	"5"
"LBN"	"IRN"	"2"	"4"
"ITA"	"MED"	"2"	"9"
"USA"	"MED"	"2"	"6"
"ISR"	"RUS"	"2"	"4"
"PSE"	"REB"	"2"	"3"
"PSE"	"RUS"	"1"	"1"
"THA"	""	"1"	"1"
"BUS"	"USA"	"2"	"4"
"CHRCTH"	"ARG"	"2"	"2"
"DEU"	"GOV"	"4"	"4"
"ITA"	"BUS"	"2"	"2"
"SDNGOV"	"SDN"	"1"	"1"
""	"CVL"	"6"	"7"
""	"JUD"	"3"	"4"
"CVL"	"CAN"	"3"	"3"
"CVL"	"COP"	"1"	"1"
"EUR"	"MIL"	"1"	"1"
"GHA"	"HLH"	"1"	"1"
"GOV"	"BGD"	"1"	"1"
"GOV"	"EGY"	"4"	"6"
"ISRGOVBUS"	"JOR"	"1"	"1"
"JPN"	"BUS"	"1"	"1"
"MIL"	"COP"	"1"	"1"
"MIL"	"EUR"	"1"	"1"
"MOSJUD"	"EGYGOV"	"1"	"1"
"NGAGOV"	"NGA"	"1"	"2"
"NLD"	""	"1"	"1"
"NLD"	"USA"	"1"	"1"
"POL"	"POLOPP"	"2"	"2"
"POLELI"	""	"1"	"1"
"POLGOV"	"POL"	"5"	"7"
"POLOPP"	""	"2"	"2"
"SAU"	"IRN"	"2"	"3"
"USA"	"MIL"	"5"	"6"
"USAJUD"	"EDU"	"1"	"1"
"NGA"	"NGAGOV"	"1"	"2"
"ARG"	""	"1"	"1"
"AUT"	"POL"	"2"	"4"
"BGD"	"BGDGOV"	"1"	"2"
"CRM"	""	"1"	"1"
"CRM"	"GOV"	"1"	"1"
"EGY"	"PSE"	"4"	"8"
"EGYGOV"	"EGYGOV"	"4"	"6"
"EGYGOV"	"GOV"	"4"	"5"
"ERI"	"amh"	"1"	"1"
"EUR"	"GBR"	"3"	"3"
"FRA"	""	"3"	"3"
"FRA"	"FRAOPP"	"1"	"1"
"FRAOPP"	""	"1"	"2"
"GIN"	"EUR"	"1"	"1"
"GOV"	"PAK"	"2"	"5"
"GOV"	"amh"	"1"	"1"
"IRN"	"GOVMIL"	"1"	"2"
"IRNLEG"	"GOVMIL"	"1"	"1"
"KWT"	"SAU"	"1"	"2"
"MAR"	"ISR"	"2"	"4"
"PAK"	"GOV"	"3"	"6"
"POLLAB"	""	"1"	"1"
"PSE"	"ISR"	"7"	"14"
"SDN"	"amh"	"1"	"1"
"SPY"	""	"1"	"1"
"VAT"	""	"2"	"2"
""	"FRA"	"4"	"6"
"AUS"	"MIL"	"1"	"1"
"CAN"	"FRA"	"1"	"2"
"CHN"	""	"12"	"14"
"CHN"	"USA"	"3"	"6"
"CVL"	""	"12"	"17"
"EUR"	""	"2"	"2"
"FRA"	"EGY"	"6"	"14"
"FRAGOV"	"EGY"	"3"	"4"
"GOV"	"EGYGOV"	"2"	"4"
"GOV"	"GOVMIL"	"2"	"2"
"GOV"	"ISRBUS"	"1"	"1"
"GOVMIL"	"GHAGOV"	"1"	"1"
"JUD"	"USA"	"1"	"1"
"MED"	"PGS"	"2"	"3"
"MED"	"POLBUS"	"1"	"1"
"PSE"	"EGY"	"3"	"6"
"GOV"	"JUD"	"1"	"1"
"POLGOV"	"COP"	"1"	"1"
"USA"	"COP"	"2"	"2"
"SYR"	"ISR"	"4"	"7"
"IGOMEAARL"	"ISR"	"1"	"1"
"CRM"	"POL"	"2"	"2"
"EGY"	"MIL"	"2"	"3"
"GOV"	"MED"	"5"	"6"
"BUS"	"POL"	"3"	"3"
"CRM"	"HND"	"1"	"4"
"JPN"	"USA"	"1"	"2"
"SYR"	"SYRGOV"	"1"	"1"
"SYRGOV"	"SYR"	"1"	"1"
"IDNGOV"	""	"1"	"1"
"IRQ"	"ISR"	"4"	"7"
"RUS"	"AFG"	"2"	"5"
"GOV"	"BOL"	"1"	"1"
"KENGOV"	"AFR"	"1"	"1"
"GOV"	"ESP"	"2"	"2"
"GOVMED"	""	"1"	"1"
"CHN"	"TWN"	"6"	"11"
"BHR"	"IRN"	"1"	"2"
"GBR"	"MIL"	"1"	"2"
"BUSCVL"	"BUS"	"1"	"3"
"CRM"	"MIL"	"2"	"2"
"EGY"	"ISR"	"6"	"15"
"EGY"	"USA"	"2"	"5"
"GBR"	"RUS"	"3"	"5"
"ISR"	"EGY"	"6"	"14"
"ISR"	"USA"	"3"	"6"
"JPN"	"GOV"	"2"	"2"
"JPNMED"	"GOV"	"1"	"1"
"MOS"	"GOV"	"1"	"1"
"RUS"	"GBR"	"1"	"2"
"USA"	"EGY"	"2"	"5"
"USA"	"ISR"	"4"	"9"
"USAGOV"	"GOV"	"4"	"5"
"IRN"	""	"2"	"2"
"RUS"	"IRN"	"2"	"4"
"EGY"	"MED"	"2"	"2"
"EGYGOV"	"MED"	"3"	"3"
"RUS"	"FRA"	"2"	"2"
"TWN"	""	"2"	"3"
"ETH"	"FRA"	"3"	"6"
"IRQ"	"OMN"	"1"	"2"
"EGY"	"FRA"	"3"	"9"
"SAU"	"SAUELI"	"1"	"2"
"SAUELI"	"SAU"	"2"	"3"
"SAUELI"	"SYR"	"1"	"2"
"SYR"	"SAUELI"	"2"	"5"
"POL"	"CHE"	"1"	"1"
"ISRGOV"	"EGY"	"4"	"5"
"MED"	"CHR"	"1"	"1"
"MED"	"MOS"	"2"	"2"
"EUR"	"FRA"	"2"	"2"
"GBR"	"FRA"	"2"	"2"
"RUS"	"EUR"	"2"	"2"
""	"CAN"	"4"	"9"
""	"KHMELI"	"1"	"1"
"CHN"	"KHMELI"	"1"	"1"
"COP"	"CVL"	"1"	"1"
"CVL"	"MIL"	"1"	"1"
"EGYGOV"	"ISR"	"2"	"3"
"FRA"	"USA"	"2"	"2"
"FRAGOV"	"GOVMIL"	"1"	"1"
"FRAGOV"	"USA"	"1"	"1"
"GOV"	"JPN"	"1"	"1"
"IRN"	"SYR"	"5"	"18"
"IRN"	"SYRGOV"	"3"	"8"
"KHMELI"	""	"1"	"1"
"KHMELI"	"CHN"	"1"	"3"
"POL"	"GMW"	"1"	"2"
"SYRGOV"	"IRN"	"3"	"11"
"UKR"	""	"1"	"1"
"IRNGOV"	"SYR"	"4"	"8"
"SYR"	"IRNGOV"	"3"	"7"
""	"EGY"	"5"	"6"
"AUS"	"USA"	"1"	"1"
"BEL"	"POL"	"2"	"2"
"DEU"	"DEUGOV"	"1"	"1"
"EUR"	"ESP"	"1"	"1"
"GOV"	"LAB"	"1"	"1"
"GOV"	"USALAB"	"1"	"1"
"JAM"	"KNAELI"	"1"	"1"
"KNAELI"	"JAM"	"1"	"1"
"LAB"	"GOV"	"1"	"1"
"RUSGOV"	"RUS"	"1"	"1"
"SYC"	"USA"	"1"	"2"
"SYRELIGOV"	""	"1"	"1"
"SYRELIGOV"	"GOV"	"1"	"1"
"SYRELIGOV"	"RUS"	"1"	"1"
"USA"	"AUS"	"1"	"1"
"USA"	"DEU"	"3"	"3"
"USA"	"SYC"	"1"	"2"
"USALAB"	"GOV"	"1"	"2"
""	"LEG"	"3"	"3"
""	"MIL"	"4"	"6"
"CHN"	"REL"	"2"	"4"
"COPGOV"	"USA"	"1"	"1"
"EGY"	"EGYGOVMED"	"1"	"3"
"EGYGOVMED"	"EGY"	"1"	"3"
"EGYGOVMED"	"ISR"	"1"	"2"
"GBR"	"CAN"	"1"	"1"
"GBR"	"LKA"	"1"	"3"
"GBR"	"REL"	"2"	"5"
"GHA"	"GHAEDU"	"1"	"1"
"GHAEDU"	""	"1"	"1"
"GOV"	"DEU"	"4"	"4"
"IRL"	"CAN"	"1"	"1"
"ISR"	"EGYGOVMED"	"1"	"2"
"PGS"	"IRN"	"1"	"1"
""	"CHN"	"7"	"10"
""	"MED"	"3"	"3"
""	"POLGOV"	"1"	"1"
"BEL"	"EUR"	"1"	"1"
"EGY"	"ISRGOV"	"2"	"2"
"EUR"	"BEL"	"1"	"2"
"GBRGOV"	"IND"	"1"	"2"
"GOV"	"SAU"	"4"	"8"
"IND"	"GBRGOV"	"1"	"1"
"KHM"	""	"1"	"2"
"POL"	"RUS"	"2"	"4"
"PSE"	"USAGOV"	"1"	"1"
"REL"	"SHN"	"1"	"1"
"SAU"	"GOV"	"4"	"7"
"SAU"	"SAUGOV"	"1"	"1"
"SAUGOV"	"SAU"	"2"	"2"
"USAGOV"	"PSE"	"1"	"1"
"USAGOV"	"USA"	"2"	"5"
""	"GOVGOV"	"1"	"1"
"BEL"	"GOV"	"2"	"4"
"CRI"	"GTMGOV"	"1"	"2"
"CRI"	"HND"	"1"	"2"
"CRI"	"SLV"	"1"	"2"
"DNK"	"HUN"	"1"	"1"
"DNK"	"HUNMED"	"1"	"2"
"FRA"	"RUS"	"1"	"1"
"GOV"	"BEL"	"2"	"5"
"GOVGOV"	""	"1"	"1"
"GOVGOV"	"POL"	"1"	"1"
"GOVMIL"	"SAU"	"2"	"3"
"GTMGOV"	"CRI"	"1"	"2"
"GTMGOV"	"HND"	"1"	"2"
"GTMGOV"	"SLV"	"1"	"2"
"HND"	"CRI"	"1"	"2"
"HND"	"GTMGOV"	"1"	"2"
"HND"	"SLV"	"1"	"2"
"HUNMED"	"DNK"	"1"	"2"
"IRN"	"GOV"	"4"	"6"
"IRN"	"IRNGOV"	"1"	"1"
"IRNGOV"	"IRN"	"1"	"1"
"ITA"	"UAFCOP"	"2"	"2"
"POL"	"GOVGOV"	"1"	"1"
"POL"	"ITA"	"1"	"2"
"POLGOVEDU"	"POL"	"1"	"1"
"SAU"	"GOVMIL"	"2"	"2"
"SLV"	"CRI"	"1"	"2"
"SLV"	"GTMGOV"	"1"	"2"
"SLV"	"HND"	"1"	"2"
"SPY"	"COP"	"1"	"1"
"UAFCOP"	"ITA"	"1"	"1"
"USA"	"USAGOV"	"1"	"1"
""	"GRD"	"1"	"1"
""	"OMN"	"1"	"1"
"ALB"	"MED"	"1"	"1"
"COP"	"COPGOV"	"1"	"1"
"COP"	"USA"	"3"	"3"
"COPGOV"	"USAELI"	"1"	"1"
"COPGOV"	"USAGOV"	"1"	"1"
"DEUGOV"	"POL"	"1"	"1"
"EGY"	"FRAGOV"	"2"	"2"
"ESP"	""	"3"	"4"
"EUR"	"POL"	"2"	"4"
"FRA"	"ETH"	"1"	"2"
"FRA"	"FRAGOV"	"4"	"5"
"FRAGOV"	"FRA"	"4"	"5"
"FRAGOVMIL"	"EGY"	"1"	"2"
