564112774	20160728	201607	2016	2016.5699	CHRCTH	CATHOLIC				CHR	CTH				MOSREF	MUSLIM				MOS		REF			0	130	130	13	3	-4.4	50	4	50	-0.346146732721606	4	Birkenau, Warminsko-Mazurskie, Poland	PL	PL85	54.4178	19.9648	-535533	4	Birkenau, Warminsko-Mazurskie, Poland	PL	PL85	54.4178	19.9648	-535533	4	Birkenau, Warminsko-Mazurskie, Poland	PL	PL85	54.4178	19.9648	-535533	20160728	http://www.ivpressonline.com/news/apgeneral/the-latest-pope-talks-about-migrants-with-polish-bishops/article_3582b075-2333-5219-8cc9-fce2010f387e.html
564112784	20160728	201607	2016	2016.5699	CHRPRO	METHODIST CHURCH				CHR	PRO				USACVL	UNITED STATES	USA					CVL			0	051	051	05	1	3.4	1	1	1	2.3778071334214	3	Geraldine, Montana, United States	US	USMT	47.6036	-110.266	771740	3	Great Falls, Montana, United States	US	USMT	47.5002	-111.301	802113	3	Great Falls, Montana, United States	US	USMT	47.5002	-111.301	802113	20160728	http://www.lewistownnews.com/content/francis-l-engellant-0
564112794	20160728	201607	2016	2016.5699	COP	POLICE						COP													0	010	010	01	1	0.0	4	1	4	-3.3661119515885	3	Seventh South, Utah, United States	US	USUT	40.7536	-111.92	1451802	0							2	Oklahoma, United States	US	USOK	35.5376	-96.9247	OK	20160728	http://www.rexburgstandardjournal.com/news/local/news-of-record-july/article_7972d78a-541b-11e6-8389-0b8f99d2c66c.html
564112804	20160728	201607	2016	2016.5699	COP	POLICEMAN						COP													1	012	012	01	1	-0.4	36	1	36	-0.71389346512905	3	Lancaster County, Pennsylvania, United States	US	USPA	40.2504	-76.25	1209181	0							3	Lancaster County, Pennsylvania, United States	US	USPA	40.2504	-76.25	1209181	20160728	http://forum.pafoa.org/external.php?s=ac68699020c7b561bf3bdcd143c008ae&type=RSS2&forumids=122
564112814	20160728	201607	2016	2016.5699	COP	DETECTIVE						COP													1	020	020	02	1	3.0	14	3	14	-7.13395934832576	2	Louisiana, United States	US	USLA	31.1801	-91.8749	LA	0							2	Louisiana, United States	US	USLA	31.1801	-91.8749	LA	20160728	http://www.newspressnow.com/news/local_news/article_fe70d4d0-5528-5719-900c-c2daea769b17.html
564112824	20160728	201607	2016	2016.5699	COP	TROOPER						COP													1	040	040	04	1	1.0	26	2	26	-0.9890348496363	2	Pennsylvania, United States	US	USPA	40.5773	-77.264	PA	0							2	Pennsylvania, United States	US	USPA	40.5773	-77.264	PA	20160728	http://www.pahomepage.com/news/precious-cargo-on-board-car-seat-safety
564112834	20160728	201607	2016	2016.5699	COP	CONSTABLE						COP													0	060	060	06	2	6.0	1	1	1	-10.1369863013699	3	Mount Enterprise, Texas, United States	US	USTX	31.9179	-94.681	1363243	0							3	Mount Enterprise, Texas, United States	US	USTX	31.9179	-94.681	1363243	20160728	http://www.ktre.com/story/32556378/nacogdoches-county-authorities-arrest-wanted-fugitive-after-hour-long-manhunt
564114844	20160728	201607	2016	2016.5699	NZL	NEW ZEALAND	NZL								LEG	CHAMBER						LEG			1	042	042	04	1	1.9	4	1	4	3.88888888888889	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	-41.3	174.783	-1521348	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	-41.3	174.783	-1521348	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	-41.3	174.783	-1521348	20160728	http://business.scoop.co.nz/2016/07/28/chamber-welcomes-david-jones-a-great-addition-to-the-city/
564114854	20160728	201607	2016	2016.5699	OPP	ACTIVIST						OPP													0	141	141	14	3	-6.5	949	276	949	-4.23114144305381	1	Israel	IS	IS	31.5	34.75	IS	0							1	Israel	IS	IS	31.5	34.75	IS	20160728	http://www.philly.com/philly/news/politics/dnc/20160727_ap_80a612afdd6f4946b3d726b9299a9ec5.html
564114864	20160728	201607	2016	2016.5699	OPP	ACTIVIST						OPP			NZL	AUCKLAND	NZL								1	042	042	04	1	1.9	5	1	5	-2.62008733624454	4	Johannesburg, Gauteng, South Africa	SF	SF06	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	-26.2	28.0833	-1240261	20160728	https://www.enca.com/south-africa/sabc-reinstates-seven-axed-employees
